id;config_short;config_long;config_description;restart_required
1;exploit Investment Account Inlet;Games local Unbranded;didactic;true
2;Home Loan Account;Savings Account Chicken International;viral;false
3;Incredible Fresh Sausages cyan azure;Dam;Integrated toolset;true
4;backing up New Mexico;indexing;Algerian Dinar Supervisor Steel;false
5;withdrawal system auxiliary;Kentucky bricks-and-clicks Parkway;homogeneous;true
6;Personal Loan Account firewall;Innovative invoice time-frame;navigate Health;false
7;Specialist;Car;Operations invoice Innovative;true
8;auxiliary withdrawal;Pizza;Cliffs Agent Pre-emptive;false
9;solution;neural AI;Rubber feed Poland;true
10;productize Refined composite;silver Kentucky Light;Granite;true
